iter	RMSE
0	1.704377267
1	1.550260859
2	1.410763125
3	1.283438743
4	1.168729228
5	1.066995008
6	0.9720681849
7	0.8879463481
8	0.8123236695
9	0.7446561993
10	0.6842307589
11	0.6307245136
12	0.5813781228
13	0.5382619012
14	0.5010861536
15	0.4668769985
16	0.4358909091
17	0.4091066079
18	0.3861650215
19	0.3654883272
20	0.3475319916
21	0.3316377405
22	0.3178901306
23	0.3064651805
24	0.2956931784
25	0.2870872422
26	0.2794719737
27	0.2725306506
28	0.2665404214
29	0.2615688257
30	0.2572111785
31	0.2530365682
32	0.2494271097
33	0.2461617731
34	0.2435495246
35	0.241223914
36	0.2393072527
37	0.2371374493
38	0.2352162868
39	0.2333889802
40	0.2319416723
41	0.2303292782
42	0.2289925649
43	0.2274448286
44	0.2265788604
45	0.2257388325
46	0.2247305554
47	0.223584465
48	0.2228377937
49	0.2215998662
50	0.2210837119
51	0.2202595712
52	0.2196741341
53	0.2187696978
54	0.2178931185
55	0.21732372
56	0.2163420186
57	0.2155702123
58	0.2149217135
59	0.21381503
60	0.2128106302
61	0.2122826445
62	0.2114481412
63	0.2103850544
64	0.2099177574
65	0.2089159107
66	0.208457811
67	0.2077835527
68	0.2072650398
69	0.2067342353
70	0.2061862812
71	0.2055235097
72	0.204839
73	0.2041319635
74	0.2035186903
75	0.202974828
76	0.20217883
77	0.2016199904
78	0.2012664763
79	0.2008021982
80	0.2002110575
81	0.1996934861
82	0.1989882036
83	0.198510504
84	0.1976851637
85	0.1973017025
86	0.1968106036
87	0.1964235176
88	0.1958863035
89	0.1952715461
90	0.1946174404
91	0.1942931829
92	0.1937047271
93	0.1932505227
94	0.1924449681
95	0.1921183334
96	0.1916115168
97	0.1912117282
98	0.1907656462
99	0.1902417606
100	0.189857616
101	0.1894534417
102	0.1891910815
103	0.1882448187
104	0.1879112191
105	0.1875381663
106	0.1871074899
107	0.1865886218
108	0.1858274044
109	0.1855602421
110	0.1849804289
111	0.1846693992
112	0.1842792545
113	0.1837529842
114	0.1833938771
115	0.1830876078
116	0.1827200548
117	0.1819362032
118	0.1813934247
119	0.1808283604
120	0.1806643467
121	0.1802079202
122	0.1798095129
123	0.1795390978
124	0.1793972791
125	0.1790394332
126	0.1784377557
127	0.1779681271
128	0.1776299659
129	0.1773841659
130	0.1770015322
131	0.1764906072
132	0.1759238241
133	0.1756288482
134	0.1753491904
135	0.1750903127
136	0.1749420897
137	0.1745091171
138	0.1743601832
139	0.1738507953
140	0.1736336289
141	0.1732295277
142	0.1724692586
143	0.1722248225
144	0.171874956
145	0.1717482578
146	0.1713637653
147	0.1710156735
148	0.1708145757
149	0.1704400494
150	0.1701332274
151	0.169769378
152	0.1693383922
153	0.1692228511
154	0.1686120763
155	0.168249709
156	0.1679485445
157	0.1674392858
158	0.1673666627
159	0.1669644937
160	0.1666325579
161	0.1662738463
162	0.1658208089
163	0.1654800967
164	0.1650912233
165	0.1649306329
166	0.1647874067
167	0.1645427946
168	0.1642290235
169	0.163795645
170	0.1635857
171	0.1632743667
172	0.1630139195
173	0.1626240696
174	0.1624017041
175	0.1622155629
176	0.162009394
177	0.1618955918
178	0.1617141784
179	0.1612958563
180	0.1610412358
181	0.1605375553
182	0.1603828191
183	0.1603007888
184	0.1599345532
185	0.1597048886
186	0.1594813617
187	0.1592030861
188	0.1589991995
189	0.1587241205
190	0.1585510633
191	0.1583687363
192	0.1581098065
193	0.1577327909
194	0.1575024025
195	0.1572502655
196	0.1569395948
197	0.1568796956
198	0.1567920882
199	0.1564813675
200	0.1563680406
201	0.1560149004
202	0.155719103
203	0.1553558846
204	0.1550775136
205	0.1549840403
206	0.1545817524
207	0.1543191672
208	0.1541321962
209	0.1540070515
210	0.1538644644
211	0.1537099747
212	0.1534023662
213	0.1531863979
214	0.1529365166
215	0.1528005327
216	0.1525542277
217	0.1524288038
218	0.152298377
219	0.1520950694
220	0.1518731611
221	0.1515692845
222	0.1513088351
223	0.1510958679
224	0.1508779169
225	0.1506585957
226	0.150486254
227	0.1502134342
228	0.1499900623
229	0.1497893434
230	0.149678606
231	0.1494345349
232	0.1493573003
233	0.1490091992
234	0.1488759917
235	0.1485804653
236	0.1483401898
237	0.1482590519
238	0.1481776599
239	0.147928865
240	0.147689833
241	0.1475908321
242	0.1474525735
243	0.1472246299
244	0.1470331753
245	0.1468830125
246	0.1466837138
247	0.1466016049
248	0.1464326792
249	0.1462052014
250	0.1459882289
251	0.1459264642
252	0.1457399247
253	0.1455573762
254	0.1454609211
255	0.1452064069
256	0.1450685453
257	0.1448641959
258	0.1446530007
259	0.1444508907
260	0.1441956892
261	0.1439612177
262	0.1438778131
263	0.1437253727
264	0.1435913301
265	0.1434996636
266	0.1433723462
267	0.143142273
268	0.1429354722
269	0.1426914255
270	0.1424452702
271	0.1423712884
272	0.1423165787
273	0.1420043868
274	0.141814294
275	0.1416072884
276	0.1413778572
277	0.1412562256
278	0.1410893023
279	0.140945594
280	0.1406716623
281	0.1405972325
282	0.1403916552
283	0.1401862024
284	0.1400124872
285	0.1398406306
286	0.1397132003
287	0.1395672445
288	0.1394363085
289	0.1392095993
290	0.1390115395
291	0.1389513644
292	0.1388873864
293	0.1387080632
294	0.1386271041
295	0.1384661661
296	0.1382883989
297	0.138098828
298	0.1379382522
299	0.1377770084
