iter	Passed	Remaining
0	176	52735
1	185	27695
2	193	19174
3	201	14917
4	211	12465
5	218	10690
6	224	9404
7	231	8448
8	237	7690
9	244	7092
10	251	6599
11	257	6185
12	264	5836
13	270	5535
14	277	5272
15	284	5046
16	290	4842
17	293	4591
18	299	4430
19	306	4285
20	312	4155
21	319	4033
22	325	3925
23	332	3827
24	339	3732
25	345	3645
26	352	3563
27	359	3488
28	365	3419
29	372	3352
30	380	3303
31	389	3259
32	397	3216
33	404	3163
34	410	3110
35	417	3063
36	424	3018
37	431	2974
38	437	2929
39	444	2887
40	450	2848
41	457	2810
42	464	2775
43	470	2739
44	477	2705
45	484	2673
46	491	2643
47	498	2617
48	504	2586
49	513	2566
50	520	2539
51	527	2515
52	535	2494
53	543	2474
54	549	2447
55	556	2422
56	562	2398
57	569	2374
58	577	2360
59	585	2340
60	592	2319
61	598	2299
62	607	2283
63	614	2265
64	620	2244
65	629	2231
66	637	2215
67	646	2204
68	654	2190
69	662	2176
70	669	2160
71	678	2147
72	686	2133
73	694	2121
74	703	2109
75	712	2099
76	720	2087
77	730	2078
78	738	2066
79	747	2056
80	756	2045
81	765	2033
82	774	2023
83	782	2012
84	790	2000
85	799	1988
86	807	1977
87	817	1968
88	826	1960
89	837	1953
90	846	1943
91	854	1932
92	862	1920
93	871	1909
94	879	1898
95	887	1885
96	895	1874
97	903	1862
98	911	1850
99	920	1841
100	930	1832
101	940	1825
102	948	1814
103	957	1804
104	966	1794
105	975	1784
106	983	1774
107	993	1765
108	1002	1755
109	1010	1744
110	1018	1733
111	1025	1721
112	1032	1708
113	1039	1696
114	1046	1682
115	1052	1669
116	1059	1656
117	1065	1643
118	1073	1633
119	1080	1621
120	1087	1608
121	1094	1596
122	1101	1584
123	1107	1572
124	1114	1560
125	1121	1548
126	1127	1536
127	1135	1525
128	1141	1513
129	1148	1502
130	1155	1491
131	1164	1482
132	1173	1473
133	1181	1464
134	1192	1457
135	1201	1449
136	1209	1439
137	1216	1427
138	1222	1416
139	1229	1405
140	1236	1393
141	1242	1382
142	1249	1371
143	1256	1360
144	1262	1350
145	1269	1339
146	1276	1328
147	1282	1317
148	1289	1307
149	1296	1296
150	1303	1285
151	1309	1275
152	1317	1265
153	1323	1254
154	1330	1244
155	1337	1234
156	1343	1223
157	1350	1213
158	1357	1203
159	1363	1193
160	1370	1183
161	1377	1173
162	1384	1163
163	1390	1153
164	1397	1143
165	1404	1133
166	1410	1123
167	1417	1113
168	1424	1103
169	1430	1094
170	1437	1084
171	1443	1074
172	1450	1064
173	1457	1055
174	1463	1045
175	1470	1036
176	1477	1026
177	1483	1016
178	1490	1007
179	1497	998
180	1504	989
181	1511	979
182	1519	971
183	1526	962
184	1532	952
185	1539	943
186	1546	934
187	1553	925
188	1559	916
189	1566	906
190	1573	897
191	1579	888
192	1586	879
193	1593	870
194	1599	861
195	1606	852
196	1613	843
197	1619	834
198	1626	825
199	1635	817
200	1643	809
201	1651	801
202	1659	793
203	1668	785
204	1676	776
205	1684	768
206	1692	760
207	1701	752
208	1710	744
209	1718	736
210	1728	729
211	1737	721
212	1746	713
213	1755	705
214	1765	697
215	1774	690
216	1783	681
217	1790	673
218	1800	665
219	1810	658
220	1820	650
221	1830	643
222	1838	634
223	1849	627
224	1860	620
225	1869	612
226	1877	603
227	1886	595
228	1895	587
229	1904	579
230	1912	571
231	1921	563
232	1930	555
233	1938	546
234	1946	538
235	1955	530
236	1964	522
237	1972	513
238	1980	505
239	1989	497
240	1997	488
241	2005	480
242	2013	472
243	2021	464
244	2028	455
245	2035	446
246	2041	438
247	2048	429
248	2055	420
249	2061	412
250	2068	403
251	2075	395
252	2082	386
253	2088	378
254	2095	369
255	2102	361
256	2108	352
257	2115	344
258	2122	335
259	2128	327
260	2135	319
261	2142	310
262	2151	302
263	2163	295
264	2171	286
265	2180	278
266	2190	270
267	2199	262
268	2206	254
269	2213	245
270	2220	237
271	2226	229
272	2233	220
273	2240	212
274	2246	204
275	2254	196
276	2261	187
277	2268	179
278	2274	171
279	2281	162
280	2288	154
281	2295	146
282	2301	138
283	2308	130
284	2315	121
285	2321	113
286	2328	105
287	2335	97
288	2341	89
289	2348	80
290	2355	72
291	2361	64
292	2368	56
293	2374	48
294	2381	40
295	2387	32
296	2394	24
297	2401	16
298	2408	8
299	2414	0
